

 ddpg _ seed: 1 

timestep: 1000, acc_reward: 37.67
timestep: 2000, acc_reward: 37.66
timestep: 3000, acc_reward: 37.56
timestep: 4000, acc_reward: 37.75
timestep: 5000, acc_reward: 37.47
timestep: 6000, acc_reward: 38.93
timestep: 7000, acc_reward: 176.32
timestep: 8000, acc_reward: 64.30
timestep: 9000, acc_reward: 127.97
timestep: 10000, acc_reward: 178.01
timestep: 11000, acc_reward: 172.67
timestep: 12000, acc_reward: 137.94
timestep: 13000, acc_reward: 154.30
timestep: 14000, acc_reward: 187.83
timestep: 15000, acc_reward: 250.00
timestep: 16000, acc_reward: 259.33
timestep: 17000, acc_reward: 233.57
timestep: 18000, acc_reward: 291.63
timestep: 19000, acc_reward: 186.72
timestep: 20000, acc_reward: 9.95
timestep: 21000, acc_reward: 73.78
timestep: 22000, acc_reward: 271.15
timestep: 23000, acc_reward: 251.93
timestep: 24000, acc_reward: 227.32
timestep: 25000, acc_reward: 217.79
timestep: 26000, acc_reward: 235.80
timestep: 27000, acc_reward: 238.05
timestep: 28000, acc_reward: 223.82
timestep: 29000, acc_reward: 122.67
timestep: 30000, acc_reward: 230.05
timestep: 31000, acc_reward: 198.13
timestep: 32000, acc_reward: 264.39
timestep: 33000, acc_reward: 276.98
timestep: 34000, acc_reward: 79.73
timestep: 35000, acc_reward: 256.26
timestep: 36000, acc_reward: 277.22
timestep: 37000, acc_reward: 293.83
timestep: 38000, acc_reward: 336.67
timestep: 39000, acc_reward: 312.46
timestep: 40000, acc_reward: 265.52
timestep: 41000, acc_reward: 251.17
timestep: 42000, acc_reward: 260.19
timestep: 43000, acc_reward: 278.08
timestep: 44000, acc_reward: 257.53
timestep: 45000, acc_reward: 216.79
timestep: 46000, acc_reward: 240.72
timestep: 47000, acc_reward: 209.69
timestep: 48000, acc_reward: 275.84
timestep: 49000, acc_reward: 288.34
timestep: 50000, acc_reward: 294.09
timestep: 51000, acc_reward: 293.13
timestep: 52000, acc_reward: 414.32
timestep: 53000, acc_reward: 396.63
timestep: 54000, acc_reward: 442.98
timestep: 55000, acc_reward: 366.46
timestep: 56000, acc_reward: 523.02
