

 td3 _ seed: 3 

timestep: 1000, acc_reward: 38.69
timestep: 2000, acc_reward: 38.61
timestep: 3000, acc_reward: 38.86
timestep: 4000, acc_reward: 25.36
timestep: 5000, acc_reward: 44.06
timestep: 6000, acc_reward: 170.98
timestep: 7000, acc_reward: 173.51
timestep: 8000, acc_reward: 171.64
timestep: 9000, acc_reward: 170.51
timestep: 10000, acc_reward: 156.14
timestep: 11000, acc_reward: 106.71
timestep: 12000, acc_reward: 128.81
timestep: 13000, acc_reward: 107.85
timestep: 14000, acc_reward: 21.25
timestep: 15000, acc_reward: 202.70
timestep: 16000, acc_reward: 231.32
timestep: 17000, acc_reward: 227.85
timestep: 18000, acc_reward: 201.92
timestep: 19000, acc_reward: 193.71
timestep: 20000, acc_reward: 195.44
timestep: 21000, acc_reward: 154.24
timestep: 22000, acc_reward: 194.68
timestep: 23000, acc_reward: 183.95
timestep: 24000, acc_reward: 190.51
timestep: 25000, acc_reward: 182.49
timestep: 26000, acc_reward: 179.60
timestep: 27000, acc_reward: 177.83
timestep: 28000, acc_reward: 179.86
timestep: 29000, acc_reward: 180.84
timestep: 30000, acc_reward: 183.05
timestep: 31000, acc_reward: 177.20
timestep: 32000, acc_reward: 338.83
timestep: 33000, acc_reward: 279.38
timestep: 34000, acc_reward: 429.81
timestep: 35000, acc_reward: 179.78
timestep: 36000, acc_reward: 261.33
timestep: 37000, acc_reward: 887.45
timestep: 38000, acc_reward: 358.98
timestep: 39000, acc_reward: 675.71
timestep: 40000, acc_reward: 273.14
timestep: 41000, acc_reward: 249.06
timestep: 42000, acc_reward: 232.69
timestep: 43000, acc_reward: 290.94
timestep: 44000, acc_reward: 293.11
timestep: 45000, acc_reward: 339.23
timestep: 46000, acc_reward: 300.37
timestep: 47000, acc_reward: 294.77
timestep: 48000, acc_reward: 275.84
timestep: 49000, acc_reward: 305.00
timestep: 50000, acc_reward: 241.26
timestep: 51000, acc_reward: 251.34
timestep: 52000, acc_reward: 264.50
timestep: 53000, acc_reward: 252.29
timestep: 54000, acc_reward: 372.76
timestep: 55000, acc_reward: 403.94
timestep: 56000, acc_reward: 251.01
timestep: 57000, acc_reward: 225.36
timestep: 58000, acc_reward: 332.47
timestep: 59000, acc_reward: 418.44
timestep: 60000, acc_reward: 325.08
timestep: 61000, acc_reward: 645.66
timestep: 62000, acc_reward: 680.88
timestep: 63000, acc_reward: 776.39
timestep: 64000, acc_reward: 308.12
timestep: 65000, acc_reward: 330.22
timestep: 66000, acc_reward: 477.69
timestep: 67000, acc_reward: 692.98
timestep: 68000, acc_reward: 639.25
timestep: 69000, acc_reward: 673.06
timestep: 70000, acc_reward: 684.94
timestep: 71000, acc_reward: 661.49
timestep: 72000, acc_reward: 665.55
timestep: 73000, acc_reward: 857.32
timestep: 74000, acc_reward: 634.75
timestep: 75000, acc_reward: 744.40
timestep: 76000, acc_reward: 1033.46
timestep: 77000, acc_reward: 977.90
timestep: 78000, acc_reward: 859.00
timestep: 79000, acc_reward: 1064.27
timestep: 80000, acc_reward: 782.76
timestep: 81000, acc_reward: 737.40
timestep: 82000, acc_reward: 607.03
timestep: 83000, acc_reward: 662.13
timestep: 84000, acc_reward: 387.08
timestep: 85000, acc_reward: 716.42
timestep: 86000, acc_reward: 556.16
timestep: 87000, acc_reward: 303.75
timestep: 88000, acc_reward: 223.73
timestep: 89000, acc_reward: 232.16
timestep: 90000, acc_reward: 748.65
timestep: 91000, acc_reward: 430.30
timestep: 92000, acc_reward: 687.28
timestep: 93000, acc_reward: 404.39
timestep: 94000, acc_reward: 777.49
timestep: 95000, acc_reward: 951.48
timestep: 96000, acc_reward: 923.17
timestep: 97000, acc_reward: 660.24
timestep: 98000, acc_reward: 486.73
timestep: 99000, acc_reward: 1349.02
timestep: 100000, acc_reward: 349.39
timestep: 101000, acc_reward: 364.79
timestep: 102000, acc_reward: 905.56
timestep: 103000, acc_reward: 1157.49
timestep: 104000, acc_reward: 1064.44
timestep: 105000, acc_reward: 1002.98
timestep: 106000, acc_reward: 1147.44
timestep: 107000, acc_reward: 496.54
timestep: 108000, acc_reward: 654.12
timestep: 109000, acc_reward: 953.04
timestep: 110000, acc_reward: 1031.82
timestep: 111000, acc_reward: 761.19
timestep: 112000, acc_reward: 1172.80
timestep: 113000, acc_reward: 1113.35
timestep: 114000, acc_reward: 1311.48
timestep: 115000, acc_reward: 1670.40
timestep: 116000, acc_reward: 1225.26
timestep: 117000, acc_reward: 237.55
timestep: 118000, acc_reward: 2036.85
timestep: 119000, acc_reward: 886.09
timestep: 120000, acc_reward: 22.06
timestep: 121000, acc_reward: 839.77
timestep: 122000, acc_reward: 794.47
timestep: 123000, acc_reward: 868.15
timestep: 124000, acc_reward: 666.78
timestep: 125000, acc_reward: 862.22
timestep: 126000, acc_reward: 1133.74
timestep: 127000, acc_reward: 482.19
timestep: 128000, acc_reward: 392.75
timestep: 129000, acc_reward: 469.44
timestep: 130000, acc_reward: 280.77
timestep: 131000, acc_reward: 518.19
timestep: 132000, acc_reward: 1306.39
timestep: 133000, acc_reward: 2569.39
timestep: 134000, acc_reward: 1563.35
timestep: 135000, acc_reward: 1626.26
timestep: 136000, acc_reward: 895.41
timestep: 137000, acc_reward: 2547.43
timestep: 138000, acc_reward: 1894.22
timestep: 139000, acc_reward: 1317.98
timestep: 140000, acc_reward: 1500.34
timestep: 141000, acc_reward: 1908.94
timestep: 142000, acc_reward: 1090.87
timestep: 143000, acc_reward: 1959.47
timestep: 144000, acc_reward: 3077.16
timestep: 145000, acc_reward: 898.12
timestep: 146000, acc_reward: 1330.28
timestep: 147000, acc_reward: 1279.22
timestep: 148000, acc_reward: 967.75
timestep: 149000, acc_reward: 1136.70
timestep: 150000, acc_reward: 1246.92
timestep: 151000, acc_reward: 2601.44
timestep: 152000, acc_reward: 1622.69
timestep: 153000, acc_reward: 1306.20
timestep: 154000, acc_reward: 2928.29
timestep: 155000, acc_reward: 3298.96
