timestep: 252000, actor_loss: -325.16943359375, critic_loss: 32.3663330078125	
timestep: 255000, actor_loss: -333.5668640136719, critic_loss: 46.666175842285156	
timestep: 258000, actor_loss: -321.5294189453125, critic_loss: 20.014934539794922	
timestep: 261000, actor_loss: -336.0954895019531, critic_loss: 252.8508758544922	
timestep: 264000, actor_loss: -331.7745361328125, critic_loss: 164.719970703125	
timestep: 267000, actor_loss: -325.5000305175781, critic_loss: 42.403202056884766	
timestep: 270000, actor_loss: -319.839599609375, critic_loss: 44.1321907043457	
timestep: 273000, actor_loss: -325.24578857421875, critic_loss: 40.16402816772461	
timestep: 276000, actor_loss: -338.6031494140625, critic_loss: 43.857261657714844	
timestep: 279000, actor_loss: -340.4422912597656, critic_loss: 37.03203201293945	
timestep: 282000, actor_loss: -330.76934814453125, critic_loss: 41.734928131103516	
timestep: 285000, actor_loss: -328.3547058105469, critic_loss: 25.305694580078125	
timestep: 288000, actor_loss: -334.3511962890625, critic_loss: 35.08317565917969	
timestep: 291000, actor_loss: -320.49859619140625, critic_loss: 32.06121826171875	
timestep: 294000, actor_loss: -322.52008056640625, critic_loss: 26.390201568603516	
timestep: 297000, actor_loss: -313.4542541503906, critic_loss: 25.33836555480957	
timestep: 300000, actor_loss: -323.75164794921875, critic_loss: 97.51396179199219	
timestep: 303000, actor_loss: -324.42529296875, critic_loss: 16.927705764770508	
timestep: 306000, actor_loss: -308.7679443359375, critic_loss: 55.25812911987305	
timestep: 309000, actor_loss: -319.0080261230469, critic_loss: 32.479530334472656	
timestep: 312000, actor_loss: -324.16064453125, critic_loss: 40.178245544433594	
timestep: 315000, actor_loss: -330.01727294921875, critic_loss: 79.83621215820312	
timestep: 318000, actor_loss: -324.21051025390625, critic_loss: 28.350460052490234	
timestep: 321000, actor_loss: -315.2154846191406, critic_loss: 20.10065460205078	
timestep: 324000, actor_loss: -319.4971008300781, critic_loss: 151.75784301757812	
timestep: 327000, actor_loss: -327.34075927734375, critic_loss: 45.640140533447266	
timestep: 330000, actor_loss: -315.1822509765625, critic_loss: 28.007755279541016	
timestep: 333000, actor_loss: -320.3658142089844, critic_loss: 20.56672477722168	
timestep: 336000, actor_loss: -329.1324157714844, critic_loss: 38.27243423461914	
timestep: 339000, actor_loss: -328.98486328125, critic_loss: 23.805469512939453	
timestep: 342000, actor_loss: -327.3028869628906, critic_loss: 55.947425842285156	
timestep: 345000, actor_loss: -334.7674560546875, critic_loss: 34.14514923095703	
timestep: 348000, actor_loss: -338.12457275390625, critic_loss: 115.38495635986328	
timestep: 351000, actor_loss: -352.855224609375, critic_loss: 198.9247589111328	
timestep: 354000, actor_loss: -343.78948974609375, critic_loss: 43.44113540649414	
timestep: 357000, actor_loss: -338.17413330078125, critic_loss: 58.419612884521484	
timestep: 360000, actor_loss: -334.4322509765625, critic_loss: 30.530447006225586	
timestep: 363000, actor_loss: -348.14776611328125, critic_loss: 37.4991340637207	
timestep: 366000, actor_loss: -350.5911560058594, critic_loss: 530.6309814453125	
timestep: 369000, actor_loss: -342.423583984375, critic_loss: 39.20939254760742	
timestep: 372000, actor_loss: -330.03668212890625, critic_loss: 273.727294921875	
timestep: 375000, actor_loss: -342.6458740234375, critic_loss: 41.557254791259766	
timestep: 378000, actor_loss: -348.1911315917969, critic_loss: 27.725515365600586	
timestep: 381000, actor_loss: -367.80181884765625, critic_loss: 23.083232879638672	
timestep: 384000, actor_loss: -346.8162536621094, critic_loss: 26.59975814819336	
timestep: 387000, actor_loss: -346.54132080078125, critic_loss: 34.83695983886719	
timestep: 390000, actor_loss: -356.6189880371094, critic_loss: 17.948863983154297	
timestep: 393000, actor_loss: -352.8060607910156, critic_loss: 13.743758201599121	
timestep: 396000, actor_loss: -335.572021484375, critic_loss: 36.64286804199219	
timestep: 399000, actor_loss: -358.98895263671875, critic_loss: 84.5821533203125	
timestep: 402000, actor_loss: -345.9039306640625, critic_loss: 43.60479736328125	
timestep: 405000, actor_loss: -367.25823974609375, critic_loss: 92.48680114746094	
timestep: 408000, actor_loss: -368.4250793457031, critic_loss: 47.454994201660156	
timestep: 411000, actor_loss: -364.7996826171875, critic_loss: 53.62569046020508	
timestep: 414000, actor_loss: -354.7729797363281, critic_loss: 32.220394134521484	
timestep: 417000, actor_loss: -364.40765380859375, critic_loss: 76.34065246582031	
timestep: 420000, actor_loss: -368.544189453125, critic_loss: 95.33290100097656	
timestep: 423000, actor_loss: -348.5843200683594, critic_loss: 98.00133514404297	
timestep: 426000, actor_loss: -343.78729248046875, critic_loss: 59.57178497314453	
timestep: 429000, actor_loss: -364.17144775390625, critic_loss: 68.59364318847656	
timestep: 432000, actor_loss: -346.67620849609375, critic_loss: 134.91294860839844	
timestep: 435000, actor_loss: -358.1514587402344, critic_loss: 277.545166015625	
timestep: 438000, actor_loss: -343.20184326171875, critic_loss: 33.14907455444336	
timestep: 441000, actor_loss: -337.144287109375, critic_loss: 50.39275360107422	
timestep: 444000, actor_loss: -346.92254638671875, critic_loss: 376.5254211425781	
timestep: 447000, actor_loss: -351.0356140136719, critic_loss: 499.5411071777344	
timestep: 450000, actor_loss: -340.0556640625, critic_loss: 33.43901062011719	
timestep: 453000, actor_loss: -339.49395751953125, critic_loss: 22.519466400146484	
timestep: 456000, actor_loss: -341.0587463378906, critic_loss: 22.7701473236084	
timestep: 459000, actor_loss: -331.77532958984375, critic_loss: 21.254047393798828	
timestep: 462000, actor_loss: -339.350830078125, critic_loss: 32.24713134765625	
timestep: 465000, actor_loss: -329.0286560058594, critic_loss: 28.8341007232666	
timestep: 468000, actor_loss: -338.7437744140625, critic_loss: 102.50450897216797	
timestep: 471000, actor_loss: -342.573974609375, critic_loss: 70.79975891113281	
timestep: 474000, actor_loss: -340.35882568359375, critic_loss: 93.75048828125	
