timestep: 86000, critic_loss: 120.919921875, actor_loss -149.89405822753906
timestep: 87000, critic_loss: 41.53675842285156, actor_loss -149.50228881835938
timestep: 88000, critic_loss: 33.039344787597656, actor_loss -151.75901794433594
timestep: 89000, critic_loss: 22.70355987548828, actor_loss -156.8057098388672
timestep: 90000, critic_loss: 10.601018905639648, actor_loss -155.8946075439453
timestep: 91000, critic_loss: 17.725801467895508, actor_loss -156.01925659179688
timestep: 92000, critic_loss: 39.03765869140625, actor_loss -152.74734497070312
timestep: 93000, critic_loss: 9.986495018005371, actor_loss -157.12332153320312
timestep: 94000, critic_loss: 10.695205688476562, actor_loss -154.267578125
timestep: 95000, critic_loss: 22.721614837646484, actor_loss -156.92257690429688
timestep: 96000, critic_loss: 27.096586227416992, actor_loss -157.37197875976562
timestep: 97000, critic_loss: 12.625516891479492, actor_loss -164.49932861328125
timestep: 98000, critic_loss: 11.389276504516602, actor_loss -164.777587890625
timestep: 99000, critic_loss: 15.714226722717285, actor_loss -156.77159118652344
timestep: 100000, critic_loss: 16.282169342041016, actor_loss -162.10171508789062
timestep: 101000, critic_loss: 14.714183807373047, actor_loss -159.21075439453125
timestep: 102000, critic_loss: 21.674718856811523, actor_loss -159.33892822265625
timestep: 103000, critic_loss: 6.560680389404297, actor_loss -162.10089111328125
timestep: 104000, critic_loss: 10.052021026611328, actor_loss -157.98080444335938
timestep: 105000, critic_loss: 41.20835876464844, actor_loss -160.42723083496094
timestep: 106000, critic_loss: 13.814506530761719, actor_loss -161.99429321289062
timestep: 107000, critic_loss: 10.602153778076172, actor_loss -168.3179931640625
timestep: 108000, critic_loss: 15.89157485961914, actor_loss -168.40858459472656
timestep: 109000, critic_loss: 21.497203826904297, actor_loss -162.69000244140625
timestep: 110000, critic_loss: 252.71511840820312, actor_loss -166.41659545898438
timestep: 111000, critic_loss: 14.086044311523438, actor_loss -167.72662353515625
timestep: 112000, critic_loss: 14.609664916992188, actor_loss -167.06045532226562
timestep: 113000, critic_loss: 27.598548889160156, actor_loss -169.72244262695312
timestep: 114000, critic_loss: 60.58831787109375, actor_loss -173.36105346679688
timestep: 115000, critic_loss: 17.974727630615234, actor_loss -177.96530151367188
timestep: 116000, critic_loss: 19.391387939453125, actor_loss -170.317138671875
timestep: 117000, critic_loss: 42.991455078125, actor_loss -175.67050170898438
timestep: 118000, critic_loss: 17.56988525390625, actor_loss -175.2007293701172
timestep: 119000, critic_loss: 16.983341217041016, actor_loss -170.85877990722656
timestep: 120000, critic_loss: 21.19023895263672, actor_loss -175.72267150878906
timestep: 121000, critic_loss: 23.750049591064453, actor_loss -171.6052703857422
timestep: 122000, critic_loss: 24.78093719482422, actor_loss -165.5638885498047
timestep: 123000, critic_loss: 18.439197540283203, actor_loss -175.03627014160156
timestep: 124000, critic_loss: 29.737104415893555, actor_loss -186.49681091308594
timestep: 125000, critic_loss: 9.542047500610352, actor_loss -179.24844360351562
timestep: 126000, critic_loss: 12.107622146606445, actor_loss -180.5728302001953
timestep: 127000, critic_loss: 17.477615356445312, actor_loss -180.70489501953125
timestep: 128000, critic_loss: 22.4252986907959, actor_loss -187.04901123046875
timestep: 129000, critic_loss: 17.543025970458984, actor_loss -190.22512817382812
timestep: 130000, critic_loss: 22.296916961669922, actor_loss -182.44818115234375
timestep: 131000, critic_loss: 160.8951873779297, actor_loss -181.93850708007812
timestep: 132000, critic_loss: 23.328262329101562, actor_loss -187.55410766601562
timestep: 133000, critic_loss: 23.827655792236328, actor_loss -182.92483520507812
timestep: 134000, critic_loss: 127.38398742675781, actor_loss -188.27130126953125
timestep: 135000, critic_loss: 21.941787719726562, actor_loss -182.21002197265625
timestep: 136000, critic_loss: 32.730690002441406, actor_loss -194.02951049804688
timestep: 137000, critic_loss: 42.49395751953125, actor_loss -183.07342529296875
timestep: 138000, critic_loss: 428.77032470703125, actor_loss -187.36492919921875
timestep: 139000, critic_loss: 9.898818016052246, actor_loss -189.755859375
timestep: 140000, critic_loss: 45.123435974121094, actor_loss -191.835205078125
timestep: 141000, critic_loss: 19.776899337768555, actor_loss -190.27212524414062
timestep: 142000, critic_loss: 40.227054595947266, actor_loss -194.39498901367188
timestep: 143000, critic_loss: 33.7666015625, actor_loss -191.73458862304688
timestep: 144000, critic_loss: 38.71145248413086, actor_loss -189.17189025878906
timestep: 145000, critic_loss: 23.327159881591797, actor_loss -192.2266082763672
timestep: 146000, critic_loss: 65.45077514648438, actor_loss -196.22499084472656
timestep: 147000, critic_loss: 16.405536651611328, actor_loss -198.09291076660156
timestep: 148000, critic_loss: 24.08993911743164, actor_loss -194.42881774902344
timestep: 149000, critic_loss: 12.701108932495117, actor_loss -200.1724853515625
timestep: 150000, critic_loss: 14.441082000732422, actor_loss -192.69549560546875
timestep: 151000, critic_loss: 14.312300682067871, actor_loss -203.38949584960938
timestep: 152000, critic_loss: 29.306142807006836, actor_loss -200.3530731201172
timestep: 153000, critic_loss: 17.214170455932617, actor_loss -201.2541961669922
timestep: 154000, critic_loss: 12.050836563110352, actor_loss -196.41726684570312
timestep: 155000, critic_loss: 18.209918975830078, actor_loss -197.155029296875
timestep: 156000, critic_loss: 14.226583480834961, actor_loss -195.95455932617188
timestep: 157000, critic_loss: 51.09147644042969, actor_loss -202.50930786132812
timestep: 158000, critic_loss: 19.61734390258789, actor_loss -200.0128173828125
timestep: 159000, critic_loss: 12.101215362548828, actor_loss -207.02261352539062
timestep: 160000, critic_loss: 32.049320220947266, actor_loss -208.4176025390625
timestep: 161000, critic_loss: 106.78397369384766, actor_loss -202.83255004882812
timestep: 162000, critic_loss: 14.540693283081055, actor_loss -204.87942504882812
timestep: 163000, critic_loss: 24.878150939941406, actor_loss -203.07508850097656
timestep: 164000, critic_loss: 66.3316650390625, actor_loss -198.76748657226562
timestep: 165000, critic_loss: 223.39013671875, actor_loss -197.79971313476562
timestep: 166000, critic_loss: 12.974649429321289, actor_loss -204.9058837890625
timestep: 167000, critic_loss: 28.01852798461914, actor_loss -207.15396118164062
timestep: 168000, critic_loss: 135.34109497070312, actor_loss -210.94342041015625
timestep: 169000, critic_loss: 14.928796768188477, actor_loss -207.09014892578125
