

 ddpg _ seed: 2 

timestep: 1000, acc_reward: 21.46
timestep: 2000, acc_reward: 21.60
timestep: 3000, acc_reward: 21.44
timestep: 4000, acc_reward: 21.56
timestep: 5000, acc_reward: 21.57
timestep: 6000, acc_reward: 38.71
timestep: 7000, acc_reward: 38.12
timestep: 8000, acc_reward: 86.40
timestep: 9000, acc_reward: 149.51
timestep: 10000, acc_reward: 178.01
timestep: 11000, acc_reward: 181.83
timestep: 12000, acc_reward: 257.73
timestep: 13000, acc_reward: 228.06
timestep: 14000, acc_reward: 348.62
timestep: 15000, acc_reward: 193.56
timestep: 16000, acc_reward: 371.50
timestep: 17000, acc_reward: 266.01
timestep: 18000, acc_reward: 274.55
timestep: 19000, acc_reward: 382.99
timestep: 20000, acc_reward: 391.55
timestep: 21000, acc_reward: 300.58
timestep: 22000, acc_reward: 374.96
timestep: 23000, acc_reward: 379.89
timestep: 24000, acc_reward: 360.46
timestep: 25000, acc_reward: 209.88
timestep: 26000, acc_reward: 264.83
timestep: 27000, acc_reward: 197.51
timestep: 28000, acc_reward: 288.78
timestep: 29000, acc_reward: 275.09
timestep: 30000, acc_reward: 285.47
timestep: 31000, acc_reward: 134.30
timestep: 32000, acc_reward: 174.67
timestep: 33000, acc_reward: 148.99
timestep: 34000, acc_reward: 134.42
timestep: 35000, acc_reward: 162.33
timestep: 36000, acc_reward: 156.78
timestep: 37000, acc_reward: 384.81
timestep: 38000, acc_reward: 590.56
timestep: 39000, acc_reward: 457.94
timestep: 40000, acc_reward: 340.24
timestep: 41000, acc_reward: 226.95
timestep: 42000, acc_reward: 268.96
timestep: 43000, acc_reward: 222.20
timestep: 44000, acc_reward: 503.46
timestep: 45000, acc_reward: 391.18
timestep: 46000, acc_reward: 411.46
timestep: 47000, acc_reward: 486.84
timestep: 48000, acc_reward: 477.51
timestep: 49000, acc_reward: 482.10
timestep: 50000, acc_reward: 487.52
timestep: 51000, acc_reward: 467.14
timestep: 52000, acc_reward: 430.95
timestep: 53000, acc_reward: 461.50
timestep: 54000, acc_reward: 437.99
timestep: 55000, acc_reward: 601.25
timestep: 56000, acc_reward: 452.47
timestep: 57000, acc_reward: 590.04
timestep: 58000, acc_reward: 549.52
timestep: 59000, acc_reward: 569.13
timestep: 60000, acc_reward: 260.07
timestep: 61000, acc_reward: 973.05
timestep: 62000, acc_reward: 996.38
timestep: 63000, acc_reward: 241.91
timestep: 64000, acc_reward: 177.51
timestep: 65000, acc_reward: 498.77
timestep: 66000, acc_reward: 323.17
timestep: 67000, acc_reward: 412.24
timestep: 68000, acc_reward: 387.17
timestep: 69000, acc_reward: 480.95
timestep: 70000, acc_reward: 272.15
timestep: 71000, acc_reward: 171.70
timestep: 72000, acc_reward: 585.26
timestep: 73000, acc_reward: 510.79
timestep: 74000, acc_reward: 489.84
timestep: 75000, acc_reward: 163.49
timestep: 76000, acc_reward: 77.02
timestep: 77000, acc_reward: 360.93
timestep: 78000, acc_reward: 477.32
timestep: 79000, acc_reward: 203.65
timestep: 80000, acc_reward: 160.15
timestep: 81000, acc_reward: 682.59
timestep: 82000, acc_reward: 405.03
timestep: 83000, acc_reward: 239.02
timestep: 84000, acc_reward: 37.90
timestep: 85000, acc_reward: 217.62
timestep: 86000, acc_reward: 135.31
timestep: 87000, acc_reward: 164.50
timestep: 88000, acc_reward: 256.05
timestep: 89000, acc_reward: 739.66
timestep: 90000, acc_reward: 541.50
timestep: 91000, acc_reward: 222.66
timestep: 92000, acc_reward: 182.38
timestep: 93000, acc_reward: 205.09
timestep: 94000, acc_reward: 402.60
timestep: 95000, acc_reward: 254.54
timestep: 96000, acc_reward: 246.86
timestep: 97000, acc_reward: 248.27
timestep: 98000, acc_reward: 454.80
timestep: 99000, acc_reward: 430.09
timestep: 100000, acc_reward: 65.88
timestep: 101000, acc_reward: 467.91
timestep: 102000, acc_reward: 220.87
timestep: 103000, acc_reward: 327.21
timestep: 104000, acc_reward: 328.27
timestep: 105000, acc_reward: 498.49
timestep: 106000, acc_reward: 517.24
timestep: 107000, acc_reward: 268.08
timestep: 108000, acc_reward: 359.01
timestep: 109000, acc_reward: 256.22
timestep: 110000, acc_reward: 260.48
timestep: 111000, acc_reward: 259.88
timestep: 112000, acc_reward: 58.02
timestep: 113000, acc_reward: 368.43
timestep: 114000, acc_reward: 314.75
timestep: 115000, acc_reward: 370.07
timestep: 116000, acc_reward: 938.85
timestep: 117000, acc_reward: 1028.22
timestep: 118000, acc_reward: 451.34
timestep: 119000, acc_reward: 509.54
timestep: 120000, acc_reward: 430.58
timestep: 121000, acc_reward: 499.39
timestep: 122000, acc_reward: 599.39
timestep: 123000, acc_reward: 657.87
timestep: 124000, acc_reward: 617.66
timestep: 125000, acc_reward: 342.21
timestep: 126000, acc_reward: 549.00
timestep: 127000, acc_reward: 534.58
timestep: 128000, acc_reward: 666.11
timestep: 129000, acc_reward: 590.19
timestep: 130000, acc_reward: 646.64
timestep: 131000, acc_reward: 656.55
timestep: 132000, acc_reward: 694.80
timestep: 133000, acc_reward: 799.17
timestep: 134000, acc_reward: 576.50
timestep: 135000, acc_reward: 739.13
timestep: 136000, acc_reward: 577.14
timestep: 137000, acc_reward: 622.80
timestep: 138000, acc_reward: 500.52
timestep: 139000, acc_reward: 351.54
timestep: 140000, acc_reward: 326.30
timestep: 141000, acc_reward: 364.90
timestep: 142000, acc_reward: 533.46
timestep: 143000, acc_reward: 769.28
timestep: 144000, acc_reward: 1425.19
timestep: 145000, acc_reward: 1160.97
timestep: 146000, acc_reward: 1169.05
timestep: 147000, acc_reward: 569.66
timestep: 148000, acc_reward: 388.36
timestep: 149000, acc_reward: 1651.19
timestep: 150000, acc_reward: 961.82
timestep: 151000, acc_reward: 1635.78
timestep: 152000, acc_reward: 238.88
timestep: 153000, acc_reward: 225.10
timestep: 154000, acc_reward: 162.16
timestep: 155000, acc_reward: 251.54
timestep: 156000, acc_reward: 427.45
timestep: 157000, acc_reward: 1008.92
timestep: 158000, acc_reward: 91.90
timestep: 159000, acc_reward: 1017.15
timestep: 160000, acc_reward: 461.46
timestep: 161000, acc_reward: 548.29
timestep: 162000, acc_reward: 678.62
timestep: 163000, acc_reward: 933.72
timestep: 164000, acc_reward: 651.89
timestep: 165000, acc_reward: 379.10
timestep: 166000, acc_reward: 1161.65
timestep: 167000, acc_reward: 822.66
timestep: 168000, acc_reward: 486.83
timestep: 169000, acc_reward: 364.82
timestep: 170000, acc_reward: 1636.00
timestep: 171000, acc_reward: 1097.51
timestep: 172000, acc_reward: 1119.67
timestep: 173000, acc_reward: 1372.30
timestep: 174000, acc_reward: 787.61
timestep: 175000, acc_reward: 598.74
timestep: 176000, acc_reward: 152.85
timestep: 177000, acc_reward: 921.94
timestep: 178000, acc_reward: 1621.16
timestep: 179000, acc_reward: 1412.66
timestep: 180000, acc_reward: 1386.04
timestep: 181000, acc_reward: 1761.62
timestep: 182000, acc_reward: 1157.66
timestep: 183000, acc_reward: 1818.46
timestep: 184000, acc_reward: 1372.50
timestep: 185000, acc_reward: 1085.61
timestep: 186000, acc_reward: 309.91
timestep: 187000, acc_reward: 983.81
timestep: 188000, acc_reward: 1470.46
timestep: 189000, acc_reward: 1988.00
timestep: 190000, acc_reward: 1442.19
timestep: 191000, acc_reward: 876.91
timestep: 192000, acc_reward: 1473.22
timestep: 193000, acc_reward: 805.87
timestep: 194000, acc_reward: 1037.47
timestep: 195000, acc_reward: 969.01
timestep: 196000, acc_reward: 1452.05
timestep: 197000, acc_reward: 440.81
timestep: 198000, acc_reward: 1147.46
timestep: 199000, acc_reward: 1365.14
timestep: 200000, acc_reward: 1899.14
timestep: 201000, acc_reward: 2348.55
timestep: 202000, acc_reward: 2433.03
