timestep: 6000, actor_loss: -3.169529914855957, critic_loss: 0.05927472189068794	
timestep: 9000, actor_loss: -14.584064483642578, critic_loss: 1.6260521411895752	
timestep: 12000, actor_loss: -29.529273986816406, critic_loss: 0.4866551160812378	
timestep: 15000, actor_loss: -43.60070037841797, critic_loss: 1.3968853950500488	
timestep: 18000, actor_loss: -58.91289520263672, critic_loss: 3.438485860824585	
timestep: 21000, actor_loss: -73.65629577636719, critic_loss: 3.2967844009399414	
timestep: 24000, actor_loss: -78.37403869628906, critic_loss: 33.53581619262695	
timestep: 27000, actor_loss: -90.11637878417969, critic_loss: 9.54160213470459	
timestep: 30000, actor_loss: -102.90187072753906, critic_loss: 16.715930938720703	
timestep: 33000, actor_loss: -119.68557739257812, critic_loss: 13.220508575439453	
timestep: 36000, actor_loss: -126.19468688964844, critic_loss: 33.53418731689453	
timestep: 39000, actor_loss: -147.29830932617188, critic_loss: 22.651317596435547	
timestep: 42000, actor_loss: -152.76812744140625, critic_loss: 26.80069351196289	
timestep: 45000, actor_loss: -150.6943817138672, critic_loss: 10.83251953125	
timestep: 48000, actor_loss: -162.51104736328125, critic_loss: 6.569882392883301	
timestep: 51000, actor_loss: -156.082275390625, critic_loss: 62.79913330078125	
timestep: 54000, actor_loss: -173.65306091308594, critic_loss: 34.675750732421875	
timestep: 57000, actor_loss: -177.29165649414062, critic_loss: 141.43869018554688	
timestep: 60000, actor_loss: -182.3834686279297, critic_loss: 18.510828018188477	
timestep: 63000, actor_loss: -191.1622314453125, critic_loss: 39.26209259033203	
timestep: 66000, actor_loss: -199.53076171875, critic_loss: 28.386022567749023	
timestep: 69000, actor_loss: -195.151611328125, critic_loss: 62.904624938964844	
timestep: 72000, actor_loss: -211.58535766601562, critic_loss: 27.054134368896484	
timestep: 75000, actor_loss: -234.0725555419922, critic_loss: 34.99176788330078	
timestep: 78000, actor_loss: -247.3453369140625, critic_loss: 32.6858024597168	
timestep: 81000, actor_loss: -237.61398315429688, critic_loss: 45.709720611572266	
timestep: 84000, actor_loss: -246.33871459960938, critic_loss: 19.225231170654297	
timestep: 87000, actor_loss: -247.49627685546875, critic_loss: 66.03131103515625	
timestep: 90000, actor_loss: -255.9020233154297, critic_loss: 22.410324096679688	
timestep: 93000, actor_loss: -264.90460205078125, critic_loss: 21.362689971923828	
timestep: 96000, actor_loss: -251.7863006591797, critic_loss: 14.540338516235352	
timestep: 99000, actor_loss: -259.9267883300781, critic_loss: 15.054462432861328	
timestep: 102000, actor_loss: -241.59019470214844, critic_loss: 34.720497131347656	
timestep: 105000, actor_loss: -249.50013732910156, critic_loss: 121.49483489990234	
timestep: 108000, actor_loss: -262.93585205078125, critic_loss: 56.90742492675781	
timestep: 111000, actor_loss: -240.20843505859375, critic_loss: 26.023130416870117	
timestep: 114000, actor_loss: -237.22900390625, critic_loss: 29.584800720214844	
timestep: 117000, actor_loss: -270.876953125, critic_loss: 21.23876953125	
timestep: 120000, actor_loss: -259.90093994140625, critic_loss: 206.259033203125	
timestep: 123000, actor_loss: -261.32958984375, critic_loss: 142.7139434814453	
timestep: 126000, actor_loss: -285.16302490234375, critic_loss: 24.3466796875	
timestep: 129000, actor_loss: -275.49847412109375, critic_loss: 28.948162078857422	
timestep: 132000, actor_loss: -275.6341552734375, critic_loss: 25.990272521972656	
