

 td3 _ seed: 0 

timestep: 165000, acc_reward: 1304.70
timestep: 166000, acc_reward: 1458.31
timestep: 167000, acc_reward: 1155.85
timestep: 168000, acc_reward: 1136.03
timestep: 169000, acc_reward: 2434.34
timestep: 170000, acc_reward: 1568.87
timestep: 171000, acc_reward: 1802.74
timestep: 172000, acc_reward: 1277.71
timestep: 173000, acc_reward: 1448.42
timestep: 174000, acc_reward: 1557.67
timestep: 175000, acc_reward: 2586.10
timestep: 176000, acc_reward: 1442.75
timestep: 177000, acc_reward: 2157.34
timestep: 178000, acc_reward: 2138.08
timestep: 179000, acc_reward: 1818.21
timestep: 180000, acc_reward: 2419.82
timestep: 181000, acc_reward: 3158.16
timestep: 182000, acc_reward: 3390.98
timestep: 183000, acc_reward: 1215.49
timestep: 184000, acc_reward: 2309.00
timestep: 185000, acc_reward: 3442.13
timestep: 186000, acc_reward: 1594.47
timestep: 187000, acc_reward: 1093.12
timestep: 188000, acc_reward: 2193.52
timestep: 189000, acc_reward: 2606.35
timestep: 190000, acc_reward: 2160.22
timestep: 191000, acc_reward: 2075.69
timestep: 192000, acc_reward: 3332.47
timestep: 193000, acc_reward: 2144.57
timestep: 194000, acc_reward: 3204.20
timestep: 195000, acc_reward: 3390.34
timestep: 196000, acc_reward: 992.97
timestep: 197000, acc_reward: 1730.35
timestep: 198000, acc_reward: 3376.78
timestep: 199000, acc_reward: 2252.68
timestep: 200000, acc_reward: 1846.84
timestep: 201000, acc_reward: 2355.65
timestep: 202000, acc_reward: 1509.18
timestep: 203000, acc_reward: 2402.51
timestep: 204000, acc_reward: 3410.86
timestep: 205000, acc_reward: 3409.10
timestep: 206000, acc_reward: 1894.23
timestep: 207000, acc_reward: 3020.34
timestep: 208000, acc_reward: 1354.96
timestep: 209000, acc_reward: 3251.50
timestep: 210000, acc_reward: 1329.90
timestep: 211000, acc_reward: 2797.17
timestep: 212000, acc_reward: 3400.48
timestep: 213000, acc_reward: 3128.39
timestep: 214000, acc_reward: 3398.29
timestep: 215000, acc_reward: 2292.62
timestep: 216000, acc_reward: 3418.06
timestep: 217000, acc_reward: 2677.80
timestep: 218000, acc_reward: 1135.99
timestep: 219000, acc_reward: 2827.14
timestep: 220000, acc_reward: 2343.79
timestep: 221000, acc_reward: 3279.27
timestep: 222000, acc_reward: 2246.50
timestep: 223000, acc_reward: 992.32
timestep: 224000, acc_reward: 2910.38
timestep: 225000, acc_reward: 3253.57
timestep: 226000, acc_reward: 1909.00
timestep: 227000, acc_reward: 3413.00
timestep: 228000, acc_reward: 2089.66
timestep: 229000, acc_reward: 1428.30
timestep: 230000, acc_reward: 1176.54
timestep: 231000, acc_reward: 3419.50
timestep: 232000, acc_reward: 3434.36
timestep: 233000, acc_reward: 1240.76
timestep: 234000, acc_reward: 1017.91
timestep: 235000, acc_reward: 3438.61
timestep: 236000, acc_reward: 3463.92
timestep: 237000, acc_reward: 3198.66
timestep: 238000, acc_reward: 3419.15
timestep: 239000, acc_reward: 3034.28
timestep: 240000, acc_reward: 2676.95
timestep: 241000, acc_reward: 3309.13
timestep: 242000, acc_reward: 1335.82
timestep: 243000, acc_reward: 1762.93
timestep: 244000, acc_reward: 3274.31
timestep: 245000, acc_reward: 3253.47
timestep: 246000, acc_reward: 2333.99
timestep: 247000, acc_reward: 3266.33
timestep: 248000, acc_reward: 3394.73
timestep: 249000, acc_reward: 693.05
timestep: 250000, acc_reward: 3174.54
timestep: 251000, acc_reward: 3413.44
timestep: 252000, acc_reward: 2277.03
timestep: 253000, acc_reward: 2833.06
timestep: 254000, acc_reward: 3361.72
timestep: 255000, acc_reward: 3436.36
timestep: 256000, acc_reward: 3273.97
timestep: 257000, acc_reward: 3430.83
timestep: 258000, acc_reward: 182.91
timestep: 259000, acc_reward: 3389.08
timestep: 260000, acc_reward: 3207.18
timestep: 261000, acc_reward: 3218.17
timestep: 262000, acc_reward: 3085.18
timestep: 263000, acc_reward: 3393.24
timestep: 264000, acc_reward: 3317.94
timestep: 265000, acc_reward: 3032.90
timestep: 266000, acc_reward: 3454.91
timestep: 267000, acc_reward: 3447.72
timestep: 268000, acc_reward: 3010.52
timestep: 269000, acc_reward: 683.61
timestep: 270000, acc_reward: 3330.87
timestep: 271000, acc_reward: 3456.73
timestep: 272000, acc_reward: 3478.25
timestep: 273000, acc_reward: 3388.93
timestep: 274000, acc_reward: 3305.15
timestep: 275000, acc_reward: 3373.12
timestep: 276000, acc_reward: 3336.30
timestep: 277000, acc_reward: 3381.06
timestep: 278000, acc_reward: 3444.81
timestep: 279000, acc_reward: 3374.78
timestep: 280000, acc_reward: 3442.81
timestep: 281000, acc_reward: 3436.66
timestep: 282000, acc_reward: 3322.08
timestep: 283000, acc_reward: 3308.79
timestep: 284000, acc_reward: 3421.79
timestep: 285000, acc_reward: 3451.41
timestep: 286000, acc_reward: 3466.14
timestep: 287000, acc_reward: 3195.54
timestep: 288000, acc_reward: 3435.08
timestep: 289000, acc_reward: 3404.61
timestep: 290000, acc_reward: 3325.13
timestep: 291000, acc_reward: 3430.77
timestep: 292000, acc_reward: 3425.95
timestep: 293000, acc_reward: 3424.93
timestep: 294000, acc_reward: 3430.73
timestep: 295000, acc_reward: 3454.45
timestep: 296000, acc_reward: 3425.64
timestep: 297000, acc_reward: 2953.82
timestep: 298000, acc_reward: 3489.54
timestep: 299000, acc_reward: 1213.28
timestep: 300000, acc_reward: 3438.34
timestep: 301000, acc_reward: 3295.12
timestep: 302000, acc_reward: 2990.58
timestep: 303000, acc_reward: 3356.61
timestep: 304000, acc_reward: 3397.15
timestep: 305000, acc_reward: 3447.68
timestep: 306000, acc_reward: 3089.85
timestep: 307000, acc_reward: 3155.15
timestep: 308000, acc_reward: 3411.55
timestep: 309000, acc_reward: 2919.56
timestep: 310000, acc_reward: 2766.41
timestep: 311000, acc_reward: 2495.87
timestep: 312000, acc_reward: 3384.83
timestep: 313000, acc_reward: 2425.46
timestep: 314000, acc_reward: 3467.49
