

 sac2 _ seed: 1 

timestep: 1000, acc_reward: 16.88
timestep: 2000, acc_reward: 19.73
timestep: 3000, acc_reward: 17.38
timestep: 4000, acc_reward: 15.60
timestep: 5000, acc_reward: 16.17
timestep: 6000, acc_reward: 59.97
timestep: 7000, acc_reward: 123.19
timestep: 8000, acc_reward: 120.76
timestep: 9000, acc_reward: 209.85
timestep: 10000, acc_reward: 225.72
timestep: 11000, acc_reward: 239.76
timestep: 12000, acc_reward: 211.77
timestep: 13000, acc_reward: 269.09
timestep: 14000, acc_reward: 249.39
timestep: 15000, acc_reward: 246.11
timestep: 16000, acc_reward: 249.18
timestep: 17000, acc_reward: 262.40
timestep: 18000, acc_reward: 281.55
timestep: 19000, acc_reward: 320.04
timestep: 20000, acc_reward: 344.21
timestep: 21000, acc_reward: 342.42
timestep: 22000, acc_reward: 361.55
timestep: 23000, acc_reward: 218.23
timestep: 24000, acc_reward: 329.24
timestep: 25000, acc_reward: 412.17
timestep: 26000, acc_reward: 402.07
timestep: 27000, acc_reward: 425.26
timestep: 28000, acc_reward: 409.23
timestep: 29000, acc_reward: 522.66
timestep: 30000, acc_reward: 447.07
timestep: 31000, acc_reward: 545.18
timestep: 32000, acc_reward: 598.13
timestep: 33000, acc_reward: 544.89
timestep: 34000, acc_reward: 425.01
timestep: 35000, acc_reward: 539.74
timestep: 36000, acc_reward: 604.79
timestep: 37000, acc_reward: 639.99
timestep: 38000, acc_reward: 825.00
timestep: 39000, acc_reward: 649.19
timestep: 40000, acc_reward: 719.85
timestep: 41000, acc_reward: 336.23
timestep: 42000, acc_reward: 646.14
timestep: 43000, acc_reward: 525.77
timestep: 44000, acc_reward: 521.16
timestep: 45000, acc_reward: 534.49
timestep: 46000, acc_reward: 418.79
timestep: 47000, acc_reward: 34.77
timestep: 48000, acc_reward: 596.86
timestep: 49000, acc_reward: 490.10
timestep: 50000, acc_reward: 524.84
timestep: 51000, acc_reward: 359.46
timestep: 52000, acc_reward: 623.98
timestep: 53000, acc_reward: 722.27
timestep: 54000, acc_reward: 209.51
timestep: 55000, acc_reward: 573.52
timestep: 56000, acc_reward: 751.19
timestep: 57000, acc_reward: 510.80
timestep: 58000, acc_reward: 694.72
timestep: 59000, acc_reward: 899.47
timestep: 60000, acc_reward: 406.24
timestep: 61000, acc_reward: 687.19
timestep: 62000, acc_reward: 475.07
timestep: 63000, acc_reward: 674.63
timestep: 64000, acc_reward: 471.01
timestep: 65000, acc_reward: 590.09
timestep: 66000, acc_reward: 427.50
timestep: 67000, acc_reward: 574.97
timestep: 68000, acc_reward: 699.69
timestep: 69000, acc_reward: 485.93
timestep: 70000, acc_reward: 560.39
timestep: 71000, acc_reward: 699.12
timestep: 72000, acc_reward: 702.19
timestep: 73000, acc_reward: 700.75
timestep: 74000, acc_reward: 696.16
timestep: 75000, acc_reward: 699.14
timestep: 76000, acc_reward: 539.38
timestep: 77000, acc_reward: 686.01
timestep: 78000, acc_reward: 673.28
timestep: 79000, acc_reward: 699.38
timestep: 80000, acc_reward: 676.57
timestep: 81000, acc_reward: 684.76
timestep: 82000, acc_reward: 688.74
timestep: 83000, acc_reward: 703.89
timestep: 84000, acc_reward: 680.77
timestep: 85000, acc_reward: 729.96
timestep: 86000, acc_reward: 690.20
timestep: 87000, acc_reward: 706.43
timestep: 88000, acc_reward: 602.69
timestep: 89000, acc_reward: 440.22
timestep: 90000, acc_reward: 707.97
timestep: 91000, acc_reward: 909.66
timestep: 92000, acc_reward: 890.58
timestep: 93000, acc_reward: 789.99
timestep: 94000, acc_reward: 800.17
timestep: 95000, acc_reward: 864.55
timestep: 96000, acc_reward: 777.57
timestep: 97000, acc_reward: 685.97
timestep: 98000, acc_reward: 768.68
timestep: 99000, acc_reward: 720.53
timestep: 100000, acc_reward: 729.50
timestep: 101000, acc_reward: 733.87
timestep: 102000, acc_reward: 654.85
timestep: 103000, acc_reward: 881.16
timestep: 104000, acc_reward: 815.39
timestep: 105000, acc_reward: 854.35
timestep: 106000, acc_reward: 697.53
timestep: 107000, acc_reward: 634.80
timestep: 108000, acc_reward: 714.94
timestep: 109000, acc_reward: 613.78
timestep: 110000, acc_reward: 607.47
timestep: 111000, acc_reward: 743.46
timestep: 112000, acc_reward: 481.72
timestep: 113000, acc_reward: 719.16
timestep: 114000, acc_reward: 623.74
timestep: 115000, acc_reward: 419.67
timestep: 116000, acc_reward: 620.05
timestep: 117000, acc_reward: 606.91
timestep: 118000, acc_reward: 672.25
timestep: 119000, acc_reward: 679.82
timestep: 120000, acc_reward: 619.04
timestep: 121000, acc_reward: 682.70
timestep: 122000, acc_reward: 640.46
timestep: 123000, acc_reward: 665.94
timestep: 124000, acc_reward: 254.68
timestep: 125000, acc_reward: 3.71
timestep: 126000, acc_reward: 3.74
timestep: 127000, acc_reward: 3.44
timestep: 128000, acc_reward: 3.46
timestep: 129000, acc_reward: 3.48
timestep: 130000, acc_reward: 3.45
timestep: 131000, acc_reward: 806.46
timestep: 132000, acc_reward: 716.31
timestep: 133000, acc_reward: 729.88
timestep: 134000, acc_reward: 759.92
timestep: 135000, acc_reward: 691.07
timestep: 136000, acc_reward: 717.77
timestep: 137000, acc_reward: 683.29
timestep: 138000, acc_reward: 766.58
timestep: 139000, acc_reward: 841.10
timestep: 140000, acc_reward: 678.04
timestep: 141000, acc_reward: 383.96
timestep: 142000, acc_reward: 1012.78
timestep: 143000, acc_reward: 836.22
timestep: 144000, acc_reward: 811.73
timestep: 145000, acc_reward: 762.58
timestep: 146000, acc_reward: 621.89
timestep: 147000, acc_reward: 1049.21
timestep: 148000, acc_reward: 940.23
timestep: 149000, acc_reward: 710.18
timestep: 150000, acc_reward: 756.76
timestep: 151000, acc_reward: 828.02
timestep: 152000, acc_reward: 891.11
timestep: 153000, acc_reward: 735.27
timestep: 154000, acc_reward: 709.94
timestep: 155000, acc_reward: 130.97
timestep: 156000, acc_reward: 878.74
timestep: 157000, acc_reward: 721.92
timestep: 158000, acc_reward: 785.52
timestep: 159000, acc_reward: 702.52
timestep: 160000, acc_reward: 650.27
timestep: 161000, acc_reward: 746.06
timestep: 162000, acc_reward: 756.49
timestep: 163000, acc_reward: 720.30
timestep: 164000, acc_reward: 729.14
timestep: 165000, acc_reward: 908.17
timestep: 166000, acc_reward: 794.37
timestep: 167000, acc_reward: 723.10
timestep: 168000, acc_reward: 596.45
timestep: 169000, acc_reward: 650.01
timestep: 170000, acc_reward: 896.57
timestep: 171000, acc_reward: 688.86
timestep: 172000, acc_reward: 500.55
timestep: 173000, acc_reward: 67.39
timestep: 174000, acc_reward: 314.97
timestep: 175000, acc_reward: 716.92
timestep: 176000, acc_reward: 650.13
timestep: 177000, acc_reward: 699.14
timestep: 178000, acc_reward: 620.29
timestep: 179000, acc_reward: 753.76
timestep: 180000, acc_reward: 772.62
timestep: 181000, acc_reward: 742.03
timestep: 182000, acc_reward: 733.91
timestep: 183000, acc_reward: 921.10
timestep: 184000, acc_reward: 806.46
timestep: 185000, acc_reward: 837.09
timestep: 186000, acc_reward: 789.79
timestep: 187000, acc_reward: 655.95
timestep: 188000, acc_reward: 903.95
timestep: 189000, acc_reward: 251.63
timestep: 190000, acc_reward: 526.64
timestep: 191000, acc_reward: 830.38
timestep: 192000, acc_reward: 726.03
timestep: 193000, acc_reward: 842.47
timestep: 194000, acc_reward: 584.60
timestep: 195000, acc_reward: 726.11
timestep: 196000, acc_reward: 698.80
timestep: 197000, acc_reward: 664.11
timestep: 198000, acc_reward: 625.00
timestep: 199000, acc_reward: 814.62
timestep: 200000, acc_reward: 831.37
timestep: 201000, acc_reward: 126.92
timestep: 202000, acc_reward: 3.52
timestep: 203000, acc_reward: 3.40
timestep: 204000, acc_reward: 3.38
timestep: 205000, acc_reward: 3.32
timestep: 206000, acc_reward: 3.45
timestep: 207000, acc_reward: 3.39
timestep: 208000, acc_reward: 712.76
timestep: 209000, acc_reward: 785.10
timestep: 210000, acc_reward: 699.41
timestep: 211000, acc_reward: 871.31
timestep: 212000, acc_reward: 779.49
timestep: 213000, acc_reward: 825.82
timestep: 214000, acc_reward: 803.43
timestep: 215000, acc_reward: 871.53
timestep: 216000, acc_reward: 871.17
timestep: 217000, acc_reward: 761.47
timestep: 218000, acc_reward: 757.94
timestep: 219000, acc_reward: 784.64
timestep: 220000, acc_reward: 851.18
timestep: 221000, acc_reward: 727.75
timestep: 222000, acc_reward: 817.58
timestep: 223000, acc_reward: 768.86
timestep: 224000, acc_reward: 766.36
timestep: 225000, acc_reward: 874.36
timestep: 226000, acc_reward: 791.84
timestep: 227000, acc_reward: 737.91
timestep: 228000, acc_reward: 805.68
timestep: 229000, acc_reward: 698.68
timestep: 230000, acc_reward: 892.76
timestep: 231000, acc_reward: 820.79
timestep: 232000, acc_reward: 941.36
