timestep, acc_reward
363000, 3530.93
364000, 3617.99
365000, 3636.94
366000, 3608.67
367000, 3632.56
368000, 3633.48
369000, 3576.20
370000, 2037.22
371000, 2547.91
372000, 2781.92
373000, 3492.87
374000, 3593.30
375000, 1656.08
376000, 2587.14
377000, 3566.09
378000, 1873.50
379000, 139.54
380000, 140.37
381000, 1862.67
382000, 2450.43
383000, 2965.20
384000, 3613.16
385000, 3531.56
386000, 3583.45
387000, 3548.36
388000, 3346.85
389000, 3609.98
390000, 3582.05
391000, 3568.05
392000, 1344.17
393000, 3529.56
394000, 3568.11
395000, 3424.70
396000, 3610.83
397000, 3177.10
398000, 3556.01
399000, 3511.74
400000, 3632.47
401000, 3604.09
402000, 3593.63
403000, 3345.90
404000, 3600.34
405000, 3716.07
406000, 3326.26
407000, 1941.72
408000, 3469.50
409000, 3626.97
410000, 3711.73
411000, 3649.23
412000, 3643.37
413000, 3525.42
414000, 3541.54
415000, 3406.81
416000, 2574.33
417000, 3258.24
418000, 148.39
419000, 1594.21
420000, 1032.73
421000, 1040.50
422000, 1663.63
423000, 1137.71
424000, 1496.01
425000, 1031.67
426000, 487.46
427000, 605.28
428000, 801.87
429000, 1996.01
430000, 1131.37
431000, 1468.66
432000, 1619.77
433000, 907.38
434000, 3313.50
435000, 2659.03
436000, 3434.27
437000, 3346.78
438000, 3350.27
439000, 2712.08
440000, 3414.68
441000, 3468.59
442000, 3533.85
443000, 3453.66
444000, 3549.56
445000, 2221.85
446000, 3030.64
447000, 3598.99
448000, 3544.77
449000, 3613.42
450000, 3592.82
451000, 3560.38
452000, 3597.08
453000, 3574.92
454000, 3582.85
455000, 3546.54
456000, 2502.68
457000, 2245.27
458000, 2769.13
459000, 2751.79
460000, 3571.93
461000, 3274.36
462000, 1623.63
463000, 3313.13
464000, 3540.05
465000, 2968.64
466000, 3535.07
467000, 3562.17
468000, 1958.31
469000, 190.70
470000, 2977.56
471000, 3506.38
472000, 827.61
473000, 3601.50
474000, 3597.34
475000, 2951.33
476000, 3585.80
477000, 3580.45
478000, 3575.70
479000, 3545.44
480000, 2373.69
481000, 172.11
482000, 3463.79
483000, 3494.91
484000, 3455.71
485000, 3559.01
486000, 2693.38
487000, 2156.74
488000, 2797.41
489000, 2537.86
490000, 3026.03
491000, 2547.46
492000, 2876.36
493000, 2052.62
494000, 3549.65
495000, 3612.45
496000, 3559.50
497000, 3550.97
498000, 3575.18
499000, 3601.24
500000, 3488.96
501000, 3593.85
502000, 3552.94
503000, 3582.12
504000, 3542.63
505000, 3528.89
506000, 3537.71
507000, 3568.79
508000, 3540.37
509000, 3312.27
510000, 3533.76
511000, 3542.09
512000, 3564.43
513000, 3535.16
514000, 3093.74
515000, 3506.71
516000, 2556.82
517000, 1380.89
518000, 2048.65
519000, 3361.55
520000, 1099.09
521000, 2851.49
522000, 3272.95
523000, 3611.09
524000, 3157.11
525000, 3514.62
526000, 1742.38
527000, 1099.66
528000, 247.12
529000, 234.91
530000, 221.81
531000, 281.25
532000, 3181.12
533000, 258.87
534000, 3492.96
535000, 3497.22
536000, 3519.62
537000, 3533.68
538000, 3570.43
539000, 3549.51
540000, 3554.38
541000, 3536.36
542000, 2467.46
543000, 3533.67
544000, 3521.01
545000, 3522.14
546000, 2917.16
547000, 3519.34
548000, 3532.09
549000, 3503.19
550000, 3242.00
551000, 491.11
552000, 479.12
553000, 3309.55
554000, 598.46
555000, 644.28
556000, 526.94
557000, 344.23
558000, 329.87
559000, 346.39
560000, 173.29
561000, 352.34
562000, 377.30
563000, 585.70
564000, 464.09
565000, 454.33
566000, 510.06
567000, 390.69
568000, 468.87
569000, 452.71
570000, 413.31
571000, 423.44
572000, 418.43
573000, 421.93
574000, 409.98
575000, 545.88
576000, 409.11
577000, 367.61
578000, 498.55
579000, 710.38
580000, 735.01
581000, 996.52
582000, 376.90
583000, 394.10
584000, 430.52
585000, 800.94
586000, 2392.78
587000, 2006.46
588000, 2195.60
589000, 1572.76
590000, 1513.81
591000, 910.46
592000, 785.21
593000, 1426.50
594000, 918.89
595000, 850.93
596000, 1704.25
597000, 2210.83
598000, 777.87
599000, 2296.64
600000, 2488.06
601000, 2345.65
602000, 1005.17
603000, 786.65
604000, 1272.92
605000, 1487.43
606000, 546.51
607000, 2467.34
608000, 2287.91
609000, 1719.72
610000, 1360.01
611000, 2295.12
612000, 2377.98
613000, 910.72
614000, 3411.19
615000, 3486.18
616000, 3377.26
617000, 1904.55
618000, 735.11
619000, 3334.98
620000, 841.00
621000, 2377.37
622000, 2571.19
623000, 3541.62
624000, 3579.10
625000, 3570.61
626000, 3565.31
627000, 3592.50
628000, 3412.69
629000, 2916.15
630000, 1306.60
631000, 1666.51
632000, 2230.46
633000, 739.52
634000, 2663.55
635000, 1165.27
636000, 3544.22
637000, 500.76
638000, 3484.04
639000, 3293.04
640000, 3284.76
641000, 2953.36
642000, 3554.73
643000, 3567.82
644000, 3616.11
645000, 3622.46
646000, 3651.79
647000, 3637.66
648000, 3446.68
649000, 2775.40
650000, 3592.21
651000, 2253.71
652000, 692.38
653000, 183.47
654000, 2918.81
655000, 543.66
656000, 1539.98
657000, 3429.75
658000, 2031.70
659000, 3604.80
660000, 1911.32
661000, 3446.00
662000, 3294.03
663000, 699.36
664000, 2552.80
665000, 1528.07
666000, 3663.14
667000, 3457.64
668000, 1621.81
669000, 3317.90
670000, 3640.23
671000, 1737.79
672000, 3616.28
673000, 3596.02
674000, 3635.49
675000, 3628.48
676000, 3656.62
677000, 3432.46
678000, 2157.09
679000, 728.40
680000, 3602.56
681000, 3651.78
682000, 3571.61
683000, 1988.64
684000, 3536.81
685000, 3645.04
686000, 3586.52
687000, 3553.67
688000, 2971.19
689000, 1269.43
690000, 1276.34
691000, 831.08
692000, 772.48
693000, 992.67
694000, 2693.24
695000, 3532.97
696000, 3586.27
697000, 612.29
698000, 504.65
699000, 1697.34
700000, 3344.67
701000, 3462.20
702000, 1575.74
703000, 3552.33
704000, 3588.69
705000, 3493.20
706000, 3608.78
707000, 2289.35
708000, 3620.97
709000, 3454.24
710000, 3392.42
711000, 3430.04
712000, 3529.66
713000, 3541.77
714000, 3572.56
715000, 3557.23
716000, 3511.30
717000, 3553.63
718000, 3547.18
719000, 3627.90
720000, 3591.87
721000, 3505.88
722000, 3380.28
723000, 1780.54
724000, 3566.20
725000, 3539.43
726000, 3619.34
727000, 2598.38
728000, 1096.13
729000, 907.24
730000, 3380.98
731000, 3189.97
732000, 3376.68
733000, 3498.04
734000, 3439.92
735000, 3464.66
736000, 3521.97
737000, 3537.76
738000, 3461.20
739000, 3401.00
740000, 3570.63
741000, 272.06
742000, 1725.89
743000, 2072.74
744000, 2093.99
745000, 2160.78
746000, 1462.41
747000, 1485.42
748000, 809.51
749000, 1080.60
750000, 3313.42
751000, 3419.27
752000, 1869.40
753000, 1572.18
754000, 970.56
755000, 1359.51
756000, 997.09
757000, 653.39
758000, 492.89
759000, 460.89
760000, 425.61
761000, 420.04
762000, 201.34
763000, 219.32
764000, 298.03
765000, 276.94
766000, 273.20
767000, 258.98
768000, 265.16
769000, 260.41
770000, 274.93
771000, 298.35
772000, 305.10
773000, 347.25
774000, 73.72
775000, 87.57
776000, 301.30
777000, 286.53
778000, 250.12
779000, 302.60
780000, 315.86
781000, 365.08
782000, 373.68
783000, 382.36
784000, 336.02
785000, 333.26
786000, 237.98
787000, 229.60
788000, 227.02
789000, 225.78
790000, 220.53
791000, 224.94
792000, 227.72
793000, 235.91
794000, 229.21
795000, 203.74
796000, 235.55
797000, 207.71
798000, 207.92
799000, 504.32
800000, 558.83
801000, 412.31
802000, 374.43
803000, 444.49
804000, 470.34
805000, 429.60
806000, 366.83
807000, 270.53
808000, 365.43
809000, 751.65
810000, 459.42
811000, 1182.31
812000, 915.61
813000, 718.59
814000, 780.62
815000, 741.67
816000, 572.01
817000, 352.27
818000, 169.59
819000, 160.40
820000, 1453.99
821000, 1691.98
822000, 2024.86
823000, 1851.44
824000, 1637.58
825000, 495.96
826000, 1231.65
827000, 829.74
828000, 13.31
829000, 1529.38
830000, 1969.13
831000, 2627.85
832000, 1414.42
833000, 2436.77
834000, 2458.34
835000, 2230.64
836000, 1356.74
837000, 792.02
838000, 1363.35
839000, 971.10
840000, 2276.32
841000, 2341.96
842000, 2973.47
843000, 3270.34
844000, 3345.61
845000, 3203.64
846000, 3352.98
847000, 3406.02
848000, 2771.51
849000, 3388.39
850000, 2179.18
851000, 1391.94
852000, 601.82
853000, 1968.19
854000, 3484.52
855000, 2613.68
856000, 3493.95
857000, 3288.14
861000, 3441.20
858000, 3308.63
859000, 3487.83
860000, 3472.60
